Product SKU,StockCode
GGOEGAEH090618,21070
GGOEGAXL089429,20914
GGOEAALB091514,21843
GGOEAAEQ091615,21588
GGOEGGCX056299,21584
GGOEWAAJ082816,21755
GGOEWFKA083199,21931
GGOEGAEB091115,21875
GGOEGAPL087999,21479
GGOEGAEH090612,21484
GGOEGAET090512,21485
GGOEGGCX056399,21217
GGOEGAEL091317,22301
GGOEGAUC057713,22086
GGOEGAUC057715,20674
GGOEGALL093214,20676
GGOEAALJ091413,20727
GGOEGAEB091116,21967
GGOEGAEL091318,22170
GGOEGAEC090714,21210
GGOEGAUC057714,21679
GGOEAAEB091716,22094
GGOEWFKA083299,21080
GGOEGOLC014299,21429
GGOEGBRJ037399,21428
GGOEGAXB089255,21877
GGOEYAEJ092113,21870
GGOEGAWH062049,21868
GGOEGALJ091013,22112
GGOEGOCC017599,22130
GGOEGAEC090716,20733
GGOENEBQ086599,16046
GGOEGAET090516,22196
GGOEGAWH062048,21154
GGOEYAEB091814,22195
GGOEGAUC057716,21326
GGOEYAEB091815,20878
GGOEYOCB092699,20967
GGOEGAEB090916,21098
GGOEAAEB091714,20992
GGOEGAEB090912,22113
GGOEGAWH062050,21430
GGOEGGOA017399,21313
GGOEGOCL087799,21108
GGOEGOCR017899,22090
GGOEGAEB090913,22071
GGOEGAXP089330,22070
GGOEAAEB091717,21216
GGOEGAXL089430,20983
GGOEGOAQ020099,20750
GGOEGAEC090712,21041
GGOEYAEJ092118,21537
GGOEAALB091513,21533
GGOEYAEB091816,21527
GGOEWALJ082713,21538
GGOEGAXB089229,22131
GGOEGAET090513,21163
GGOEAAEB091718,21158
GGOEWAAJ082815,21161
GGOEAALB091515,21159
GGOEAAEB091712,22212
GGOEYALQ091914,22188
GGOEYAEB091812,21390
GGOEYALQ091915,22297
GGOEYAXQ089529,22285
GGOEYAXQ089555,22284
GGOEGALL093216,21383
GGOEYAEB091818,21381
GGOEGAEL091314,21380
GGOEYFKQ020699,22210
GGOEGAXL089428,22209
GGOEWFKA083099,22208
GGOEGALJ091016,20974
GGOEYAEB091817,20982
GGOEWAAJ082817,21872
GGOEGALJ073316,21888
GGOEGAXP089328,20754
GGOEYAXB089655,22187
GGOEYAXQ089528,20723
GGOENEBB081499,20969
GGOEYAXB089630,20970
GGOEGBMJ013399,22110
GGOEGCBC074299,21741
GGOEAAEQ091617,21738
GGOEGAEB090917,21739
GGOEYAXB089629,21385
GGOEYAWQ089749,21288
GGOEGAAB010513,21014
GGOEWAAJ082813,21803
GGOEWAAJ083513,21801
GGOEGHGH019699,21034
GGOEGEHQ071199,22202
GGOEGDHR018499,21064
GGOEGGCX092599,16235
GGOEGALJ036416,20986
GGOEGALQ036616,20832
GGOEGAAC035015,22168
GGOEGALB036515,21563
GGOEWCKQ085457,21769
GGOENEBQ081799,22294
GGOEGALB036514,22295
GGOEGOAA017199,21586
GGOEGALQ036615,21731
GGOEGOCC077999,21913
GGOEGAAJ032816,20798
GGOEGALQ036614,21249
GGOEGATH060714,21561
GGOEGOCC077299,21218
GGOEGDHC015299,22215
GGOEAAAB081017,21238
GGOEGAYR068226,20675
GGOEAAAB034917,21239
GGOEGAEC029117,21244
GGOEGAYR068225,21245
GGOEAAAB034814,21213
GGOEGAER090414,21207
GGOEGAWR061849,21987
GGOEGAWR061850,21988
GGOEGALJ073314,21989
GGOEGAEB027815,21086
GGOEGAYR068256,21094
GGOEGADB056917,21206
GGOEAAEQ091612,20677
GGOEGADC059314,22083
GGOEYAWQ089748,21703
GGOEYAWQ089750,21784
GGOEYAEJ092115,21844
GGOEAAAB034813,17090
GGOEGAPB057614,22077
GGOEWAAJ082814,22075
GGOEWALJ083414,22144
GGOEGAAB010517,21472
GGOEADWQ015699,20978
GGOEAAEQ091618,21833
GGOEGHGT019599,10124
GGOEGAXP089329,21922
GGOEYAEJ029517,22312
GGOEGAYB068026,21427
GGOEAALJ091414,21504
GGOEWAEA083899,22292
GGOENEBQ092399,21211
GGOEGADJ057118,21974
GGOEGAAR010717,22311
GGOEAAAB034817,22045
GGOEAAAB081016,20984
GGOEGFKA022299,21465
GGOEAAAB034816,21470
GGOEWAAJ083517,16012
GGOEAAAB034914,21851
GGOEGATH060717,21849
GGOEGAAC035017,20828
GGOEGAAL010617,21830
GGOEGBRB079599,21623
GGOEGALJ060117,21156
GGOEGADB059618,21625
GGOEYAEA035117,21259
GGOEAAAB034815,21258
GGOEAAAB081015,22169
GGOEGHPJ080110,21587
GGOEYAAB031814,22082
GGOEGAEB031514,16156
GGOEAAAB034913,22191
GGOEGAAC035013,22190
GGOEGHGR019499,20894
GGOEGPJR018999,21415
GGOEGBRD079699,20679
GGOEAAWJ062550,21710
GGOEYAWQ089753,22174
GGOEGAPC058812,21416
GGOEGATJ060515,21417
GGOEGBJC019999,15056
GGOEAAEB028315,18097
GGOEGBRA037499,22296
GGOEGAAQ033915,21899
GGOEGHGC019799,21911
GGOEAAEH035214,21902
GGOEGCBC016999,21901
GGOEGOXQ016399,21948
GGOEGADJ057114,21949
GGOEGAAL010615,20759
GGOEGHPJ080010,20760
GGOEGHPJ080310,20757
GGOEGALQ036617,20755
GGOEGALJ036413,20981
GGOEGALL074617,21544
GGOEGAAC035014,20971
GGOEGAAC035016,22150
GGOEGADJ059718,22147
GGOEGALJ060116,22088
GGOEGKAA019299,20726
GGOEGFKQ020799,21992
GGOEGADB056718,21993
GGOEGAWQ062250,10002
GGOEGCKQ084999,21349
GGOEGAEJ028016,21488
GGOEYAEB035617,22183
GGOEYAEJ029516,21781
GGOEGALJ057913,21745
GGOEGAAJ032613,21257
GGOEGALL074616,21116
GGOEGAER035517,21155
GGOEGADC059317,15060
GGOEGADC059517,21232
GGOEGAEJ028114,20972
GGOEGAPB057615,21700
GGOEGAQB036017,22064
GGOEAAAB081013,20973
GGOEGADB057318,20724
GGOEAAEJ035716,20725
GGOEGAHB057415,22084
GGOEYAAJ033017,21735
GGOEGALJ057912,21500
GGOEWAAJ083514,15036
GGOEGAPB058616,21408
GGOEYAAQ031717,20718
GGOEGALB036517,21539
GGOEGALJ034417,21668
GGOEGAPB058217,21509
GGOEGDHC074099,21508
GGOEGAPJ058012,21507
GGOEGATH060716,21499
GGOEAAFB035917,21498
GGOEYAAJ033013,20719
GGOEYAQB073217,20685
GGOEGAEJ028015,16237
GGOEGAEB084517,20961
GGOEGAPB057613,21912
GGOEGAXR065155,22264
GGOEGAYR068224,21314
GGOEGAPB057817,21982
GGOEGALJ057916,20665
GGOEGADC059316,22181
GGOEGPJC019099,21981
GGOEGAPB057616,21392
GGOEWALJ083417,21393
GGOEAAEJ035713,21268
GGOEGAAJ032313,20668
GGOEGALP036316,22087
GGOEGATC060316,21327
GGOEAAAB081014,21025
GGOEGADC059313,21031
GGOEGADJ057113,21030
GGOEYAEJ029017,21026
GGOEGAEJ030816,21032
GGOEGAEB084514,21578
GGOEGATJ060517,21559
GGOEGAPB057816,21357
GGOEAAEJ035717,20766
GGOEGAEJ028917,21398
GGOEGAEJ030817,21399
GGOEGALJ036417,21591
GGOEAAEJ030916,21714
GGOEGAAQ057217,21984
GGOEGAPB058615,21135
GGOEGDWR015799,21121
GGOEGAAB058913,21990
GGOEGALJ057915,20751
GGOEGALJ060115,16258
GGOEGFSR022099,21935
GGOEGADC059516,20752
GGOEGBCR024399,21892
GGOEGAPB058216,20728
GGOEYDHJ056099,21426
GGOEGAEJ030815,21577
GGOEGADB056713,20977
GGOEGAAB058918,20979
GGOEGAYB068056,21581
GGOEGALP036315,21874
GGOEGADB056717,21908
GGOEAAAJ032413,21169
GGOEYAEJ029016,21166
GGOEGAAQ057213,21174
GGOEGADB056613,21175
GGOEGAEJ028915,21900
GGOEGATB060216,21930
GGOEGADB057313,22099
GGOEGAAJ032617,22024
GGOEGPXR023199,22031
GGOEAAAQ032013,21067
GGOEGAYB068025,21463
GGOEGAAQ010417,21464
GGOEGCMB020932,21524
GGOEGAAJ059113,21658
GGOEGADJ056813,22065
GGOEAAWJ062548,21788
GGOEGAXR065130,22275
GGOEGAAQ033913,22043
GGOEGAEJ035317,22042
GGOEGAAH034015,17003
GGOEGAAJ057013,22089
GGOEGOBC078699,21063
GGOEGAAB033813,21059
GGOEGADJ056818,21975
GGOEGALB036516,21494
GGOEGAPB057513,21240
GGOEGAPB057516,22207
GGOEAAAB034915,21929
GGOEGAPJ058013,21928
GGOEAAAB034916,21927
GGOEGBPB082099,21925
GGOEYAEA035113,22186
GGOEAAWT061754,22141
GGOEGAEB084515,22121
GGOEYAEJ029513,21352
GGOEGAER029717,21621
GGOEGAPJ058015,21111
GGOEGODR017799,21231
GGOEGADB057314,22060
GGOEGALJ034416,22061
GGOEGALJ036414,21531
GGOEGAPB057512,22180
GGOEGAPB057517,21039
GGOEGDHQ015399,21157
GGOEGOBG023599,21035
GGOEGAPB057813,22193
GGOEGAEE031014,16161
GGOEGATB060414,22171
GGOEGAEB027816,21980
GGOEGAEE031013,21486
GGOEGFYQ016599,22173
GGOEAAAJ031913,21916
GGOEYAAB031817,21260
GGOEGOFH020299,21143
GGOEGAAJ032713,21033
GGOEYAEJ029015,21530
GGOEGAER035513,21528
GGOEAAWT061750,21891
GGOEGCKQ013199,21333
GGOEGADB056617,21820
GGOEGADJ057117,21821
GGOEGAQB036016,22162
GGOEGCBB074199,21706
GGOEGAEB027814,21114
GGOEGAFB035813,20615
GGOEGOCC017699,22142
GGOEGATC060314,20681
GGOEGATC060317,22155
GGOEGALP034316,21807
GGOEGOAB015899,22161
GGOEYAAB031816,20956
GGOEAAAP081215,22067
GGOEGBJC014399,20682
GGOEGBJL013999,22128
GGOEGALP034314,22276
GGOEGAAB010514,21786
GGOEGALJ057917,21890
GGOEGAPB058617,22078
GGOEAHPB080210,21878
GGOEGAAQ010416,21462
GGOEGAWR061053,22158
GGOEYAEB035614,22300
GGOEAAEB031215,21329
GGOEGALJ072917,20658
GGOEYAEA035114,20941
GGOEYAEB028414,21066
GGOEGEHQ072499,21205
GGOEGADC059513,21361
GGOEAAAJ080817,21557
GGOEAAFB035913,21876
GGOEAAFB035915,22136
GGOEGOAR021899,22167
GGOEYAAB031813,22200
GGOEGALL074613,22308
GGOEGOLC013299,10123
GGOEGOCD078399,10120
GGOEGOCR078499,20767
GGOEYOLR018699,21882
GGOEYAFB073115,21884
GGOEADHH082399,21452
GGOEYAAJ033014,20886
GGOEGAAJ073415,21192
GGOEGALP034315,21945
GGOEGAPJ058016,22133
GGOEAAAL081113,18098
GGOEGOAC021799,20655
GGOEGATC060315,21100
GGOEAAWT061753,21109
GGOEGAAB010515,21165
GGOEAAAJ031916,21201
GGOEGAAB033814,21411
GGOEGALJ072916,21558
GGOEYAAJ033015,21813
GGOEADHH055999,21865
GGOEGAAJ032813,21942
GGOEGEHQ072599,21944
GGOEGETR014599,22132
GGOEGAAH034017,22166
GGOEGAEJ028014,22309
GGOEGAEC033113,22154
GGOEGADB059613,22153
GGOEGBRC021399,20998
GGOEGESC014099,21907
GGOEGATB060413,21407
GGOEGADB056618,21715
GGOEGDHR082199,22076
GGOEGAAJ080617,22222
GGOEGBRB013899,21078
GGOEGAWR061848,22041
GGOEGATB060418,22059
GGOEAHPJ074410,22069
GGOEGALJ072915,22081
GGOEYAAJ033016,22105
GGOEGAFJ036217,22118
GGOEAAAJ032417,22135
GGOEGAPB058212,22156
GGOEGAWR061050,22163
GGOEAOBH078799,22175
GGOEGAPB058213,22182
GGOEGAER035516,22216
GGOEWAAJ083515,22224
GGOEGAPC058814,22227
GGOEGPXC023299,22244
GGOEAAAJ080813,22246
GGOEGAEJ031316,22248
GGOEGAEJ031317,22250
GGOEGAFB035817,22251
GGOEGALJ073313,22255
GGOEGALJ073315,22277
GGOEGAYQ069024,22278
GGOEGAYQ069025,22288
GGOEGAYQ069026,22299
GGOEGATH060715,22304
GGOEGAAJ032714,22310
GGOEGALQ036613,22314
GGOEGPJC203399,10133
GGOEGATB060214,16218
GGOEGATH060713,16225
GGOEGHPA002910,20686
GGOEA0CH077599,20712
GGOEGAXR065129,21200
GGOEGAEJ028916,20770
GGOEGAPB057514,20846
GGOEAAWJ062549,20902
GGOEGAWR061049,21002
GGOEGAAB058917,21012
GGOEGAXR065128,21015
GGOEAAAJ080814,21051
GGOEGAAJ032717,21107
GGOEGALJ034414,21112
GGOEGADJ056814,21147
GGOEGAAQ010413,21191
GGOEGOCL077699,21195
GGOEGAFB035815,21219
GGOEGAAJ073413,21220
GGOEAOCB077499,21221
GGOEGAWQ062949,21224
GGOEAAWT061749,21261
GGOEGAEC033117,21262
GGOEGFAQ016699,21263
GGOEYAAJ032514,21286
GGOEGALB036513,21439
GGOEYAEA035116,21446
GGOEGAPB058614,21523
GGOEGAEB027813,21619
GGOEGAEQ027913,21638
GGOEGOAQ018099,21640
GGOEGALP036317,21643
GGOEGAFB035816,21651
GGOEGALB034114,21675
GGOEGAAJ032814,21698
GGOEGADB056918,21704
GGOEGAEJ031315,21711
GGOEGATC060313,21725
GGOEGAAJ032317,21773
GGOEGALJ034415,21774
GGOEAAAL081114,21802
GGOEGAPB058613,21810
GGOEGBPB081999,21815
GGOEAAAJ080816,21826
GGOEWALJ083415,21828
GGOEGAWR061048,21829
GGOEGAAJ057016,21846
GGOEGALJ072914,21866
GGOEGAAC032117,21896
GGOEGADB056616,21903
GGOEGAAB010516,21906
GGOEGAAJ080613,21917
GGOEGAAJ080614,21934
GGOEGAAJ080615,21936
GGOEGAAJ080616,21985
GGOEGAAL010613,21986
GGOEGAAL010616,21991
GGOEGAAQ010414,21832
GGOEGAAQ010415,17084
GGOEGAAR010713,17091
GGOEGAAR010714,21027
GGOEGAAR010715,21095
GGOEGAAR010716,20713
GGOEGAEC029114,22139
GGOEGAEC029116,21136
GGOEGAER029716,22035
GGOEGAWC061948,21250
GGOEGAWC061949,21678
GGOEGAWC061950,21677
GGOEGAWQ062248,21377
GGOEGAWQ062249,21379
GGOEGAXQ067130,17107
GGOEAAWT061748,21564
GGOEGAAL010614,21932
GGOEYAAB031815,21933
GGOEGAAQ033914,21469
GGOEAAAJ031917,22072
GGOEGAAQ033917,22115
GGOEGALP034313,21905
GGOEGAFJ036216,21164
GGOEGAYB068024,22116
GGOEGADJ057116,21179
GGOEAAEJ030913,22151
GGOEGAEJ028113,22080
GGOEGAFB035814,22049
GGOEGAAC032115,22137
GGOEGAAJ032817,22306
GGOEYAEB035616,22095
GGOEGOCB017499,20711
GGOEGCBQ016499,20717
GGOEAAAP081217,20734
GGOEAAAJ031914,20735
GGOEGAEB084516,20960
GGOEGAEB084513,21242
GGOEGAEQ027915,21864
GGOEGALJ036415,21976
GGOEGAXQ067129,16016
GGOEGAXQ067155,20910
GGOEGAEJ028013,22192
GGOEGALB034117,21818
GGOEYHPB072210,20661
GGOEAHPB076113,20773
GGOEAHPB076114,21850
GGOEYAAJ032513,20652
GGOEYAAJ032515,21845
GGOEYAAJ032516,20854
GGOEYAAJ032517,20657
GGOEYAXR066128,20774
GGOEYAXR066129,21642
GGOEYAXR066130,16238
GGOEYAXR066155,21054
GGOEYAYR068624,20669
GGOEYAYR068625,21040
GGOEYAYR068626,21937
GGOEYAYR068656,21287
GGOEYOCR077799,22307
GGOEYAFB073113,20829
GGOEAAEJ030914,21721
GGOEACCQ017299,21947
GGOEAAAP081213,21726
GGOEGAEJ031313,21243
GGOEGAEJ031314,20697
GGOEGAAJ059116,20699
GGOEGAEJ030814,22117
GGOEGOAB022499,21579
GGOEGATB060213,17109
GGOEGAAQ057215,21011
GGOEGAEJ035313,21363
GGOEYAEJ029013,22079
GGOEGAEC029113,21626
GGOEGADJ059713,21716
GGOEADHH073999,11001
GGOEAAEJ035715,20936
GGOEGADB056614,22305
GGOEGAAX0100,21824
GGOEGEVB070599,21823
GGOEGESB015199,20856
GGOEAAAH083313,22256
GGOEAAAC080913,21447
GGOEGAFJ036213,22185
GGOEGALB034115,21787
GGOEGEHQ024099,22243
GGOEGESQ016799,21555
GGOEGAAJ057015,21556
GGOEGAAJ032815,21055
GGOEGAEJ035316,21358
GGOEAAAJ031915,22021
GGOEGAER029713,20684
GGOEAAAH083317,21110
GGOEYAEJ029515,21445
GGOEGAAJ073414,22242
GGOEYAFB073116,21294
GGOEAAAJ032913,21468
GGOEGATB060416,21466
GGOEAAAP081214,22123
GGOEAAAL081115,21836
GGOEGAAQ033916,21413
GGOEGALJ060114,21682
GGOEGAAJ059114,21664
GGOEGAPB057812,21090
GGOEYAEJ029014,21209
GGOEGOAB021499,21635
GGOEAAAP081216,21467
GGOEGAPJ058014,21983
GGOEGALP036313,21351
GGOEGAPJ058017,15039
GGOEGAYQ069056,16011
GGOEAAAJ032916,21785
GGOEAAAH083315,21650
GGOEGADB059616,21808
GGOEGALJ057914,22100
GGOEGADB056915,20764
GGOEGAXJ065555,21723
GGOEYAAQ031715,21187
GGOEGADJ059715,21696
GGOEGAYT068524,22034
GGOEGAXQ067128,20980
GGOEGAEA030413,21340
GGOEAAEJ033414,21761
GGOEGAPB058215,21630
GGOEGAFJ036215,21811
GGOEGADB059214,21809
GGOEAAEJ028215,21580
GGOEGAEQ027916,22231
GGOEGAXR066055,21657
GGOEGAYT068525,21106
GGOEGAAC032113,22093
GGOEGAAC032114,22091
GGOEGATJ060513,22097
GGOEGAXC065228,22098
GGOEGAYH067956,20748
GGOEGADC059315,22129
GGOEGHPB080410,20702
GGOEGADJ056816,21683
GGOEYAQB073216,21867
GGOEAAAJ032914,15034
GGOEGADJ059714,21624
GGOEGCVB072399,20671
GGOEGALL074615,21904
GGOEGAPB057515,22199
GGOEGAAB033815,21122
GGOEGESB015099,21126
GGOEGAEC033116,21038
GGOEGAER029714,16014
GGOEGALB034113,21817
GGOEGALB034116,21695
GGOEYAEA035115,21688
GGOEGAEJ035314,22074
GGOEGDHJ082599,21819
GGOEYOCR077399,21018
GGOEGAAB058914,21497
GGOEGAAJ032715,22252
GGOEGAYC068356,22313
GGOEGADB056714,21401
GGOEGEVA022399,21306
GGOEGAAL059015,21311
GGOEGAAJ032614,21307
GGOEGAXR066029,21277
GGOEGATJ060516,21115
GGOEGADB059614,21616
GGOEGOCT019199,22096
GGOEGBPB021199,21894
GGOEGGCX056499,20768
GGOEAAEJ035714,20659
GGOEGAAJ059115,20985
GGOEGOCB078299,22134
GGOEGAPB058612,21202
GGOEGADB059615,21822
GGOEGADJ056815,21910
GGOEGAEC033115,21613
GGOEGADC059514,21609
GGOEAAAJ032917,21693
GGOEGACB023699,21804
GGOEGADB056916,22157
GGOEAHPJ004213,20771
GGOEAHPJ004314,20765
GGOEGCBB074399,22283
GGOEGFQB013799,16010
GGOEGOAR013599,21167
GGOEAHPB076115,21713
GGOEAAEH035213,20802
GGOEGAEA030414,22052
GGOEAAEJ033415,20781
GGOEGADB059617,22073
GGOEGALQ034215,17012
GGOEGCNB021099,20622
GGOEGAAJ032616,20696
GGOEGAAJ032716,20716
GGOEGALL074614,20782
GGOEGETB023799,20847
GGOEAAEH035217,21279
GGOEGAEA030415,21291
GGOEGALQ034213,21319
GGOEAAEJ033413,21359
GGOEGHPB003410,21397
GGOEAAAJ032915,21627
GGOEGATB060614,21632
GGOEAAEH035215,21641
GGOEGATB060617,21777
GGOEGALQ034214,22068
GGOEGADB059215,22106
GGOEGATB060613,22108
GGOEAAEH035216,22124
GGOEGAAB033817,22165
GGOEYAFB073117,22184
GGOEGALQ034216,22221
GGOEGAEJ030813,22223
GGOEGBFC018799,22260
GGOEGADJ059814,22261
GGOEGAAJ032314,22262
GGOEGATB060615,22282
GGOEGAEA030416,22279
GGOEAAWN062648,22280
GGOEAAWN062649,20996
GGOEAAWN062650,21188
GGOEYAEJ029613,21189
GGOEGAAJ032315,21253
GGOEGOAJ021599,21265
GGOEGAAJ057018,21281
GGOEGAPB058214,21366
GGOEYAEB035615,21389
GGOEGOCD078199,21391
GGOEGAEC033114,21403
GGOEYAEJ029616,21534
GGOEYAFB073114,21618
GGOEGAAJ032316,21648
GGOEGAAJ032615,21758
GGOEAAEJ030915,21812
GGOEAAQB036116,21847
GGOEGAER029715,21873
GGOEAHPA004110,21943
GGOEGAAJ057017,22104
GGOEGALQ034217,10125
GGOEGBMC056599,15044
GGOEGAAQ057216,20762
GGOEGAAH034014,20803
GGOEGBMB073799,20867
GGOEGEVR014999,18007
GGOEYAEJ029514,21676
GGOEAAAH083316,21720
GGOEAAAL081116,21289
GGOEGAAH034016,21292
GGOEGADB059216,22127
GGOEGAAC032116,20903
GGOEGADB057316,20897
GGOEGAER035515,21973
GGOEAAAH083314,21622
GGOEGALJ034413,21162
GGOEGADJ057115,22119
GGOEAOCH077899,22233
GGOEGEVB070899,22176
GGOEGEVB071799,16169
GGOEGADB059217,20769
GGOEGAQB036013,20731
GGOEGCBN016899,21226
GGOEGAAB058916,22203
GGOEGALP034317,21089
GGOEGBRP037599,21647
GGOEGDHQ014899,21692
GGOEAAAC080916,20775
GGOEGAEC029115,21576
GGOEGADB056615,20861
GGOEYAAQ031716,21827
GGOEAAXC066428,21495
GGOEAAXC066429,17007
GGOEAAXC066430,21644
GGOEAAXC066455,21744
GGOEAAXJ066229,21746
GGOEAAXJ066255,18094
GGOEAAXN066328,21471
GGOEAAXN066329,22085
GGOEAAXN066330,20772
GGOEAAXN066355,21814
GGOEAAYC068724,21336
GGOEAAYC068725,22050
GGOEAAYC068726,21680
GGOEAAYC068756,20819
GGOEAAYJ068824,21547
GGOEAAYJ068826,17021
GGOEAAYJ068856,21000
GGOEGAWC062848,21001
GGOEGAWC062849,21028
GGOEGAWC062850,21124
GGOEGAWH061348,21171
GGOEGAWH061349,21204
GGOEGAWH061350,21222
GGOEGAWH061353,21251
GGOEGAWH061354,21367
GGOEGAWN062748,21375
GGOEGAWN062749,21448
GGOEGAWN062750,21595
GGOEGAWQ062948,21684
GGOEGAWQ062953,21705
GGOEGAWR061149,21775
GGOEGAWR061150,22101
GGOEGAWR061153,22217
GGOEGAWR061154,16236
GGOEGALP036314,21617
GGOEYAWJ061453,20857
GGOEGAXR066028,21789
GGOEGAXL065928,17038
GGOEGAXR066030,22211
GGOEGAAJ073416,22026
GGOEGAYH068456,21709
GGOEGAUC057717,20839
GGOEGAAQ033918,20780
GGOEGAFJ036214,16052
GGOEGAXC065230,16219
GGOEGAYH067924,17129
GGOEGAYH067925,20653
GGOEGAYL068125,20763
GGOEGAYL068156,20801
GGOEGAYC068326,20866
GGOEGAXC065255,20892
GGOEGADJ059717,21065
GGOEGAAJ073016,21316
GGOEAAAC080917,21441
GGOEGADC059515,21666
GGOEGAAH034013,22293
GGOEGAAL059013,21410
GGOEGESC014699,21689
GGOEGAYL068126,22194
GGOEYAWJ061449,20663
GGOEGAAB058915,20777
GGOEGARJ058413,20794
GGOEGAYH068425,20931
GGOEGAYQ068925,21269
GGOEGAWR061148,21324
GGOEGAAQ057214,21634
GGOEYAWJ061448,21656
GGOEYAEJ029614,21662
GGOEGAYQ068956,21792
GGOEAAAL081117,21794
GGOEAAEJ030917,22048
GGOEGAXL065955,22057
GGOEGOAB016099,22051
GGOEYAWJ061450,21686
GGOEGAAL059018,21197
GGOEGOAB021699,22092
GGOEGDHJ023099,21246
GGOEGBJB022599,21376
GGOEGADJ059815,20618
GGOEGAAJ080715,21694
GGOEAAXJ066228,22265
GGOEAAQB036114,22063
GGOEGAXL065930,20906
GGOEGAXJ065528,21275
GGOEGAYC068324,16168
GGOEGAXJ065529,17013
GGOEGAXJ065530,17096
GGOEWALJ082715,20616
GGOEGOAC016199,20662
GGOEGALJ060113,20761
GGOEGADB056715,21285
GGOEGEVB070499,21442
GGOEGAEJ029914,21717
GGOEGATB060215,21718
GGOEGAAJ073017,21749
GGOEGOGA016299,21750
GGOEAAAJ080815,22025
GGOEGAXC065655,22164
GGOEYAAQ031714,22145
GGOEGAPB057815,22152
GGOEGAAB033816,20695
GGOEGAAL059016,21690
GGOEAAAC080914,21123
GGOEAAQB036115,20849
GGOEYDHJ019399,21661
GGOEYOBR078599,21190
GGOEAAXJ066230,21628
GGOEGAXJ065730,22254
GGOEGAYH068424,21615
GGOEGAAJ073015,22236
GGOEGAXC065229,21629
GGOEGAYQ068924,21382
GGOEYAEB035613,20707
GGOEGAAJ057014,21120
GGOEGOAR021999,21264
GGOEGAXC065630,21284
GGOEGALQ058116,22201
GGOEGAXC065629,22269
GGOEGAAJ073417,16015
GGOEGADB057315,16008
GGOEAOCH014199,20778
GGOEGALJ072913,20758
GGOEGBRB073899,21535
GGOEYHPA003610,21128
GGOEGAAL059014,21132
GGOEGAXL065929,21879
GGOEGAXC065628,21186
GGOEGARJ058415,22218
GGOEGAYH067926,21144
GGOEAAAJ032414,21317
GGOEAAFB035914,21895
GGOEGAQB036015,21562
GGOEYAAQ031713,16048
GGOEGOAA017099,20700
GGOEAAEJ028213,20932
GGOEWALJ083413,22263
GGOEGOAQ015999,17164
GGOEGEVB070699,22053
GGOEADHH015499,21131
GGOEADHJ015599,20654
GGOEGOAB012999,17165
GGOEGDHC082299,22291
GGOEGBMB073599,15058
GGOEYAEB031414,20868
GGOEGAYQ068926,21742
GGOEGAAJ080717,22229
GGOEGAYT068526,22228
GGOEGAER035514,16054
GGOEYAQB073214,22055
GGOEGAQB036014,21454
GGOEGEVJ023999,21318
GGOEGAEJ035315,21418
GGOEGADB056913,21420
GGOEGAPB057814,22286
